src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.43.203,13.35.169.127,49494,443,6,2022-09-19 11:28:36,0.0,0,0,0,0,1,0,168,0,168.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,168,168,168.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,168.0,2849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0,1,0,168,0
192.168.43.203,34.117.46.154,50940,443,6,2022-09-19 11:28:36,0.0,0,0,0,0,1,0,168,0,168.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,168,168,168.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,168.0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0,1,0,168,0
192.168.43.203,34.107.204.85,57170,443,6,2022-09-19 11:28:36,817717.3137664795,6200.186683888499,31.79582914814615,17.120831079771005,14.674998068375146,14,12,3044,2026,1242.0,66.0,217.42857142857142,326.98988937748834,620.0,66.0,168.83333333333334,163.3303571157412,1242,66,195.0,265.46722237188936,70472.84615384616,280,240,20,6,32701.101303100586,269729.1374206543,-122.54714965820312,61342.4734485639,733994.9607849121,343324.6612548828,27.418136596679688,56461.150829608625,102450.339761917,748524.1889953613,269729.1374206543,0.0,68047.65354503285,77743.95236003681,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,195.0,64240,276,268877.0294189453,8440.732955932617,113671.30279541016,86983.69317666383,237178.32565307617,38819.78988647461,93154.12385123117,62501.0391224129,0.0,0.0,0.0,0.0,0.0,0.0,217.42857142857142,168.83333333333334,0,14,12,3044,2026
192.168.43.203,34.107.204.85,50153,443,17,2022-09-19 11:28:36,805287.3611450195,8779.47468335692,19.868683866154274,9.934341933077137,9.934341933077137,8,8,2882,4188,1399.0,73.0,360.25,469.8943365268409,1399.0,70.0,523.5,525.4871549334008,1399,70,441.875,505.10529533454707,255131.359375,64,64,8,8,53685.82407633463,316368.34144592285,153.7799835205078,80809.5855651392,805287.3611450195,316860.1989746094,1219.5110321044922,115041.05159214565,107401.04753642328,690981.1496734619,337403.2974243164,153.7799835205078,98711.59281049456,104838.33814900738,0,0,0,0,1,0,0,0,0,0,0,1.0,441.875,0,0,315876.4839172363,93355.41725158691,173944.63221232095,100668.08693109926,295333.3854675293,17692.089080810547,98491.62896474202,95005.16164019777,0.0,0.0,0.0,0.0,0.0,0.0,360.25,523.5,0,8,8,2882,4188
192.168.43.203,192.168.43.96,35867,53,17,2022-09-19 11:28:37,439237.3561859131,396.14116957381964,4.55334677671057,2.276673388355285,2.276673388355285,1,1,79,95,79.0,79.0,79.0,0.0,95.0,95.0,95.0,0.0,95,79,87.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,95.0,0,1,1,79,95
192.168.43.203,192.168.43.96,40322,53,17,2022-09-19 11:28:37,57092.18978881836,4396.398192615112,35.03106129573795,17.515530647868975,17.515530647868975,1,1,79,172,79.0,79.0,79.0,0.0,172.0,172.0,172.0,0.0,172,79,125.5,46.5,2162.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,125.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,172.0,0,1,1,79,172
192.168.43.203,40.76.174.66,38616,443,6,2022-09-19 11:28:27,34179305.55343628,26274.70001097529,42.540361088577455,20.597258738898574,21.94310234967888,704,750,833334,64717,1442.0,54.0,1183.7130681818182,535.626645589618,833.0,54.0,86.28933333333333,38.78976178781659,1442,54,617.6416781292985,663.678531209486,440469.1927883806,14080,15000,20,584,23517.22517098875,13306447.267532349,-279.42657470703125,395922.6028638131,34179305.55343628,13306447.267532349,1.9073486328125,48619.21131356512,568469.2333862195,33791169.88182068,13605607.748031616,0.0,45115.04657118916,568624.2664997862,0,0,0,0,1,0,0,0,0,0,0,1.0653409090909092,617.6416781292985,501,2045,13306394.815444946,449.6574401855469,127634.88944619894,935952.9351784987,13306159.496307373,5151.271820068359,120789.43794026916,906889.8145648427,18295.341463414636,13.365853658536585,615.28125,10.75,136667.1603858496,7400.8917328010675,1183.7130681818182,86.28933333333333,0,704,750,833334,64717
192.168.43.203,35.241.24.90,52001,443,17,2022-09-19 11:28:37,875805.6163787842,9111.610899454046,20.55250578824221,10.276252894121106,10.276252894121106,9,9,3770,4210,1399.0,73.0,418.8888888888889,532.4028225245418,1399.0,70.0,467.77777777777777,517.5956761320724,1399,70,443.3333333333333,525.6201628129913,276276.55555555556,72,72,8,9,51517.97743404613,386303.9016723633,106.09626770019531,91917.49577134546,838432.3120117188,387218.2369232178,780.3440093994141,104804.03900146484,126450.96531433173,743664.026260376,408004.2839050293,106.09626770019531,92958.003282547,123755.09862763538,0,0,0,0,1,0,0,0,0,0,0,1.0,443.3333333333333,0,0,385389.5664215088,13837.099075317383,134586.19117736816,131034.76253713715,364603.51943969727,11529.684066772461,88788.03253173828,110879.73485150882,0.0,0.0,0.0,0.0,0.0,0.0,418.8888888888889,467.77777777777777,0,9,9,3770,4210
192.168.43.203,35.241.24.90,50216,443,6,2022-09-19 11:28:37,520141.8399810791,6523.220666354056,30.760840159641884,17.30297258979856,13.457867569843323,9,7,2094,1299,1293.0,66.0,232.66666666666666,378.52785014227595,652.0,66.0,185.57142857142858,203.288575424098,1293,66,212.0625,314.99671997300226,99222.93359375,180,140,20,4,34676.12266540527,127039.67094421387,30.517578125,48127.19628945739,426845.7889556885,245653.86772155762,723.8388061523438,53355.72361946106,80629.24949098277,433557.74879455566,131097.31674194336,2633.0947875976562,72259.6247990926,51307.26346431497,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,212.0625,64240,276,124650.47836303711,79590.3205871582,95618.88376871745,20565.563030427034,123071.43211364746,77231.64558410645,95038.17558288574,17157.722644910617,0.0,0.0,0.0,0.0,0.0,0.0,232.66666666666666,185.57142857142858,0,9,7,2094,1299
192.168.43.203,13.107.43.14,55884,443,6,2022-09-19 11:28:38,0.0,0,0,0,0,1,0,177,0,177.0,177.0,177.0,0.0,0.0,0.0,0.0,0.0,177,177,177.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,177.0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0,1,0,177,0
192.168.43.203,75.2.88.188,35018,443,6,2022-09-19 11:28:38,0.0,0,0,0,0,1,0,189,0,189.0,189.0,189.0,0.0,0.0,0.0,0.0,0.0,189,189,189.0,0.0,0.0,20,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,189.0,566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0,1,0,189,0
192.168.43.203,192.168.43.96,35646,53,17,2022-09-19 11:28:39,5375.62370300293,40553.43380494079,372.0498514214751,186.02492571073756,186.02492571073756,1,1,109,109,109.0,109.0,109.0,0.0,109.0,109.0,109.0,0.0,109,109,109.0,0.0,0.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,109.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,0,1,1,109,109
